course_id,course_name,category,skills
1,Python for Beginners,Technology,python programming coding algorithms software
2,Fundamentals of Nursing,Healthcare,patient care anatomy physiology vital signs medical nursing hospital
3,Vocal Techniques & Singing Basics,Music,vocal control pitch warmups breath control singing performance voice
4,Culinary Fundamentals & Cooking,Culinary,knife skills food safety recipes baking cooking nutrition chef
5,Web Development Bootcamp,Technology,html css javascript frontend web design web development
6,Clinical Nursing Skills,Healthcare,pharmacology patient assessment dosage emergency care nursing health
7,Songwriting & Music Theory,Music,chords melody lyrics composition arrangement music audio
8,Advanced Professional Pastry & Baking,Culinary,pastry bread decorating baking cake technique cooking dessert
9,Introduction to Financial Accounting,Business,bookkeeping ledger financial statements balance sheet finance accounting
10,Digital Photography Masterclass,Arts,camera lighting composition editing portrait photography visual
11,Public Speaking and Communication,Humanities,speech body language confidence presentation rhetoric leadership
12,Introduction to Civil Law,Law,legal contracts rights litigation court systems jurisprudence justice
13,Fitness Training & Human Anatomy,Sports,exercise physiology workout nutrition muscle health personal training
14,Graphic Design Principles,Arts,photoshop illustrator typography color theory UI UX design
15,Pediatric Care & Child Health,Healthcare,child care pediatrics immunization nutrition development nursing
16,Classical Piano Performance,Music,piano sight reading scales classical music performance instruments
17,Italian & French Gourmet Cooking,Culinary,pasta sauces gourmet cooking traditional recipes culinary arts
18,Digital Marketing Strategy,Business,seo social media marketing analytics branding advertising
19,Environmental Science & Sustainability,Science,ecology climate change conservation green energy biology
20,Creative Writing & Storytelling,Humanities,fiction poetry scriptwriting narratives character design writing
